Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,10 uF,
"C2, C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,100 nF,
"D1, D3, D4",D_DO-41_SOD81_P10.16mm_Horizontal,3,1N4007,
D2,LED_D5.0mm,1,LED,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Solenoid_12V,
J2,PinSocket_1x03_P2.54mm_Vertical,1,AM2302 ~ DHT22,
J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
J4,PinSocket_1x06_P2.54mm_Vertical,1,DS3231 RTC,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SRD-05VDC-SL-C,
"Q1, Q2",TO-92_HandSolder,2,PN2222A,
"R1, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,270R,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10K,
SW1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,SW_Push,
SW3,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,SW_SPST,
U1,TO-220-3_Horizontal_TabDown,1,LM7805_TO220,
U2,ESP32-C3 SuperMini,1,ESP32-C3 SuperMini,
