Designator,Mid X,Mid Y,Rotation,Layer
C1,126.087258,-92.1,270.0,top
C2,138.587258,-92.3,270.0,top
C3,179.237056,-82.1,270.0,top
C4,174.437056,-82.1,270.0,top
D1,169.787258,-109.48,90.0,top
D2,109.217258,-101.0,0.0,top
D3,110.787258,-86.3,180.0,top
D4,169.887258,-94.58,90.0,top
J1,178.987258,-94.65,90.0,top
J2,176.937056,-73.8,270.0,top
J3,114.337258,-79.15,270.0,top
J4,144.747056,-80.55,0.0,top
K1,150.787258,-107.725,0.0,top
Q1,134.412258,-103.3,90.0,top
Q2,134.072258,-113.23,90.0,top
R1,122.707258,-101.2,0.0,top
R2,110.487258,-91.3,180.0,top
R4,122.887258,-111.3,0.0,top
R5,122.927258,-105.2,180.0,top
R6,122.927258,-115.3,180.0,top
SW1,109.107258,-112.1,0.0,top
SW3,179.087258,-109.58,90.0,top
U1,132.387258,-82.725,0.0,top
U2,157.547056,-80.2,0.0,top
